Accession,Organism_Name,GenBank_MD5
ON642403,Severe acute respiratory syndrome coronavirus 2,6f8eeefd7c505feb566fb4e95d7b47c3
ON613362,Severe acute respiratory syndrome coronavirus 2,2963083c6cb12f33b58fcbf04d763485
ON613490,Severe acute respiratory syndrome coronavirus 2,5938c77b1119cffffb1020bd0b083eef
ON615292,Severe acute respiratory syndrome coronavirus 2,9b8b8a739dc5ade34af2e0c86975fc8e
ON600004,Severe acute respiratory syndrome coronavirus 2,39446581fdadc24759da8b713290735e
ON600028,Severe acute respiratory syndrome coronavirus 2,2752bf39a4bebd63dc0937579a5606a6
ON600043,Severe acute respiratory syndrome coronavirus 2,e69b649d3fe7043a281055428d6d711c
ON600086,Severe acute respiratory syndrome coronavirus 2,e4448354e61c28a04f2add96f23e3100
ON600192,Severe acute respiratory syndrome coronavirus 2,e4448354e61c28a04f2add96f23e3100
ON602856,Severe acute respiratory syndrome coronavirus 2,804033551db8f2dfab1184306d43ed56
ON583070,Severe acute respiratory syndrome coronavirus 2,c96264b526ec0a14a1296ab0f0802e99
ON583123,Severe acute respiratory syndrome coronavirus 2,b41f9edb3e1e59169970929c61147386
ON583187,Severe acute respiratory syndrome coronavirus 2,a0d52e4de77c8d2e278bcdf25cf5df9a
ON583329,Severe acute respiratory syndrome coronavirus 2,5aa2ef54280fd900c45fae6e1b457f33
ON583582,Severe acute respiratory syndrome coronavirus 2,d84519b1f0ee42bfee5b932692175dc2
ON595816,Severe acute respiratory syndrome coronavirus 2,2c3cdcbb3f89f236f12c861d7911744e
ON596172,Severe acute respiratory syndrome coronavirus 2,e3b93d0b04ea8a12a37e29dd70f20b36
ON567468,Severe acute respiratory syndrome coronavirus 2,3428120861a2c10f7c5653f1bd28f865
ON569277,Severe acute respiratory syndrome coronavirus 2,d19e7aef9c5c6563d6cbefebea687f49
ON554483,Severe acute respiratory syndrome coronavirus 2,1a52321ef426f0c6257a6dd3f1b30733
ON554547,Severe acute respiratory syndrome coronavirus 2,1699987db97feba2511e1f97fd9ba087
ON554612,Severe acute respiratory syndrome coronavirus 2,d45dd719ead129410eafe8325f8d5642
ON556019,Severe acute respiratory syndrome coronavirus 2,8571bf9e0a05e03c91b4f9d10470445c
ON556286,Severe acute respiratory syndrome coronavirus 2,e98b3f41fe3d02342aa08628ca374966
ON540537,Severe acute respiratory syndrome coronavirus 2,3f55823b458ea459c790f17117eb57fe
ON515608,Severe acute respiratory syndrome coronavirus 2,4a3d682494a67e86334ee791d9f3cf21
ON525818,Severe acute respiratory syndrome coronavirus 2,ebdf7b83247a5464d2a6da58baec5ea3
ON526499,Severe acute respiratory syndrome coronavirus 2,dbb8cca04d5dd8b7c5709e66381d5214
ON510224,Severe acute respiratory syndrome coronavirus 2,8c6fee06a98f47ed89370870ba647a7c
ON401084,Severe acute respiratory syndrome coronavirus 2,9bc493eef20024b7e00029a08b2c1114
ON385031,Severe acute respiratory syndrome coronavirus 2,1a04f0d1568921cd6d8cc8ce2fff2ad1
ON383690,Severe acute respiratory syndrome coronavirus 2,ce8234258a75484c4c601b83a1ab374d
ON374927,Severe acute respiratory syndrome coronavirus 2,cfbcdb9ceb12682d73b26ff245f108c5
ON376751,Severe acute respiratory syndrome coronavirus 2,db9f67f98c84985f7d92acb1424e8509
ON337754,Severe acute respiratory syndrome coronavirus 2,0063bc25663efc33ac21be8aa5b45c77
ON338026,Severe acute respiratory syndrome coronavirus 2,62a3c64770e52631e0a50fccc6ce36e2
ON322572,Severe acute respiratory syndrome coronavirus 2,5004161c385b2b36029eaec60e9da040
ON323922,Severe acute respiratory syndrome coronavirus 2,c6d4621f1e97560a91c2e2c9680fc297
ON315924,Severe acute respiratory syndrome coronavirus 2,a0898988e40de8c7401bc03b8138c7d9
ON316101,Severe acute respiratory syndrome coronavirus 2,991aa1b110d1ed339d66bd6a23f000e8
ON316247,Severe acute respiratory syndrome coronavirus 2,fd580245c0c9b65d3c782f86143a8061
ON316501,Severe acute respiratory syndrome coronavirus 2,f3e0aefa9301aa095ff00e46b118386e
ON316517,Severe acute respiratory syndrome coronavirus 2,f26f494dc95fd5359431f04ce45fab50
ON304479,Severe acute respiratory syndrome coronavirus 2,5475adde3595e5240e7f3f5e2e8ced31
ON262491,Severe acute respiratory syndrome coronavirus 2,6bf04e48dd66ec6ef2516a8b088d5807
ON276779,Severe acute respiratory syndrome coronavirus 2,1000db0462d7e337b547e7c1ca2509c3
ON256776,Severe acute respiratory syndrome coronavirus 2,041c026ae11c973596ac94fd2b9d7445
ON218520,Severe acute respiratory syndrome coronavirus 2,3f76504ba6470c9397c3712855a401b3
ON171058,Severe acute respiratory syndrome coronavirus 2,4416112040b4197a3e327b0d4b22ebbe
ON172766,Severe acute respiratory syndrome coronavirus 2,73612514eb256ea4f1283e13c995347e
ON173238,Severe acute respiratory syndrome coronavirus 2,1f8cb024ca4342d12344c758d71cf74e
ON173954,Severe acute respiratory syndrome coronavirus 2,06bee58980548116c22541321d44caf5
ON176503,Severe acute respiratory syndrome coronavirus 2,cb01c66844adca96a4f3a28b9cfc3ef6
ON159162,Severe acute respiratory syndrome coronavirus 2,cfbb3723d85b37f32dfb81a611c43cf0
ON135546,Severe acute respiratory syndrome coronavirus 2,82dd5466e14e6b75a85095fd2c515650
ON117655,Severe acute respiratory syndrome coronavirus 2,17801ab5a94cfba4943b999bd7389457
ON105438,Severe acute respiratory syndrome coronavirus 2,8d82748d7f332b0b28eae330ebd18964
BS003745,Severe acute respiratory syndrome coronavirus 2,b30c21f7528e329e3b96b346b4e66d95
ON077273,Severe acute respiratory syndrome coronavirus 2,2c3ee05f0ac3fa865f7ba86cf1a8b75e
ON082340,Severe acute respiratory syndrome coronavirus 2,a9347adec061807923f4cc0cbf6a1c56
ON087054,Severe acute respiratory syndrome coronavirus 2,78fdda1a735fd3d2917e992cb20cea63
ON065466,Severe acute respiratory syndrome coronavirus 2,7d73ad0160fc64bc79af3df491e486a5
ON073231,Severe acute respiratory syndrome coronavirus 2,8684b615228abbdfc5f8113d0dd475da
ON074171,Severe acute respiratory syndrome coronavirus 2,fc7cc1409dbf7cdc3349f93c4be347e7
ON052635,Severe acute respiratory syndrome coronavirus 2,86adffd265d3fadc1e92b1142e86eadd
ON038750,Severe acute respiratory syndrome coronavirus 2,e926637d2d0a37ae8aa7ead10d675a9d
ON038751,Severe acute respiratory syndrome coronavirus 2,54a3bbbf2bfdda163ebca32ee67a4dc4
ON038754,Severe acute respiratory syndrome coronavirus 2,5733fba52dd0826e4ef5cb69b88fb8aa
ON038755,Severe acute respiratory syndrome coronavirus 2,361b6186523ec3cc66c1f71b7888491b
ON038760,Severe acute respiratory syndrome coronavirus 2,5dfcd19d8b27c52b7af5e931f48564c4
ON044895,Severe acute respiratory syndrome coronavirus 2,5901b1aca63306ebcc36265a74660c12
ON032303,Severe acute respiratory syndrome coronavirus 2,ee74cc1ecffca4aa3d6c334a10acfcfb
ON004577,Severe acute respiratory syndrome coronavirus 2,f00f381a11a8ee425cc000bc99bb56e8
ON004716,Severe acute respiratory syndrome coronavirus 2,194c7acfbe848eb5d5e95448a175a858
ON005319,Severe acute respiratory syndrome coronavirus 2,3fd189939ebf97b45311834ca65c336d
ON010845,Severe acute respiratory syndrome coronavirus 2,e72513fae4688693ae4f26b9e212f438
OW165629,Severe acute respiratory syndrome coronavirus 2,73bfe258c1f0ae88be36d0ef134a6d4c
ON000506,Severe acute respiratory syndrome coronavirus 2,d4d9ca0dd4257b5748bc862e38ed51a7
ON000527,Severe acute respiratory syndrome coronavirus 2,09d1503ce8b0620a99a1a0e8a1ffe702
OM965373,Severe acute respiratory syndrome coronavirus 2,15ae6f3182587d7d36b0fd5c32501cf4
OM943605,Severe acute respiratory syndrome coronavirus 2,1e98fa29c320c33a556433cb53705dbf
OM945722,Severe acute respiratory syndrome coronavirus 2,cccd62364a7cda2b29773aa1677dd3c7
OM942836,Severe acute respiratory syndrome coronavirus 2,33472225675e6de0222d39a94cb3be6f
OM921822,Severe acute respiratory syndrome coronavirus 2,d6877d9dbd86563f5811303a7727ff1a
OM921856,Severe acute respiratory syndrome coronavirus 2,bf5ef0c9ea2f5f3b7d1267c77df4778f
OM921920,Severe acute respiratory syndrome coronavirus 2,bf0124d083c27bde2dfca2a06263fd24
OM921931,Severe acute respiratory syndrome coronavirus 2,bc7350cc4d821534a93afc56889c153f
OM921940,Severe acute respiratory syndrome coronavirus 2,193a41ce2796af171e091da52bb6d9ce
OM935059,Severe acute respiratory syndrome coronavirus 2,0c097c8eb621cbf604ec258debd60895
OM935503,Severe acute respiratory syndrome coronavirus 2,f1b24d6da8217e451e205991bbf6ce87
OM918676,Severe acute respiratory syndrome coronavirus 2,568bf694d36d775f753dc771b9cd4475
OM906018,Severe acute respiratory syndrome coronavirus 2,1e26af7334424bc568a40f3d7f1b5d14
OM886684,Severe acute respiratory syndrome coronavirus 2,09d688ccbf53d5e0113fc4e7f3f399cb
OM896722,Severe acute respiratory syndrome coronavirus 2,ef19b1c59edfbd6f124d7a41946e2fdd
BS003508,Severe acute respiratory syndrome coronavirus 2,1cf9a7d5db0e67e776e804abc836e739
OM832744,Severe acute respiratory syndrome coronavirus 2,b2a26b773595e8ef81d9b246e782395a
OM805514,Severe acute respiratory syndrome coronavirus 2,fc5d81597746b9bd5cfa27d182a4536a
OM811913,Severe acute respiratory syndrome coronavirus 2,6bc6d1fe7ec0ead31ad17b7a17f99c6a
OM811967,Severe acute respiratory syndrome coronavirus 2,32a2d24cb2004d5e2dc2a204f754b11f
OM797420,Severe acute respiratory syndrome coronavirus 2,3e59a3028e470f407945badce98ccd3d
OM802022,Severe acute respiratory syndrome coronavirus 2,744323491cde430cec05c14ce4e3f812
OM773143,Severe acute respiratory syndrome coronavirus 2,837ae4099194066bc5705070b4374a89
OM739931,Severe acute respiratory syndrome coronavirus 2,8698a331e1e7c0f6fc1484ddea357153
OM731687,Severe acute respiratory syndrome coronavirus 2,5a21463300f929d2578d905a98de4d6d
OM698368,Severe acute respiratory syndrome coronavirus 2,859e3346db04835e6e2bd4d45b11f064
OM698369,Severe acute respiratory syndrome coronavirus 2,b1b49c0016ead5458e914b08d5b6d1b8
OM698370,Severe acute respiratory syndrome coronavirus 2,b1b49c0016ead5458e914b08d5b6d1b8
OM698371,Severe acute respiratory syndrome coronavirus 2,b1b49c0016ead5458e914b08d5b6d1b8
OM698372,Severe acute respiratory syndrome coronavirus 2,859e3346db04835e6e2bd4d45b11f064
OM717027,Severe acute respiratory syndrome coronavirus 2,766396b9d99bdd18cba0432796b5be74
OM678613,Severe acute respiratory syndrome coronavirus 2,cb46629c40b897250742621ffb8ad0a8
OM674371,Severe acute respiratory syndrome coronavirus 2,2dffcddddce95c15f9cd6f85d68194aa
OM677399,Severe acute respiratory syndrome coronavirus 2,7021a4aeb7f3470d8ed38c08babd93d1
OM638630,Severe acute respiratory syndrome coronavirus 2,19ade203487ad3132f90717174ac4651
OM618106,Severe acute respiratory syndrome coronavirus 2,958d940327996a3f4b739a49773fbdca
OM631530,Severe acute respiratory syndrome coronavirus 2,031d2ce1b8d8b15f6e6ad9438d6d4579
OM634827,Severe acute respiratory syndrome coronavirus 2,dbed37a3319b86ec5e08c66fad0b84ea
OM634831,Severe acute respiratory syndrome coronavirus 2,ecb2d894a1dcd0d96ce3a59ce09053a1
OM634937,Severe acute respiratory syndrome coronavirus 2,48c859987e52e43cd9f6156e99aa005d
OM635206,Severe acute respiratory syndrome coronavirus 2,f9f13420ce9c8d9a946776d43677b905
OM635644,Severe acute respiratory syndrome coronavirus 2,ed1deff8b0e040b75679d4642a35b061
OM638038,Severe acute respiratory syndrome coronavirus 2,dd738c5ca27120391d070aeab5047b9d
OV788659,Severe acute respiratory syndrome coronavirus 2,eeb09ff87e3b9e49285d6b4b77b85e5b
OM575142,Severe acute respiratory syndrome coronavirus 2,8f344f1e9d0bce7720dc9f8ca0ba1ffe
OM616646,Severe acute respiratory syndrome coronavirus 2,c7aaf0930fb25159e54534177891232d
OM538509,Severe acute respiratory syndrome coronavirus 2,c651d5888602626045b713dbe0c4f8b3
OM540533,Severe acute respiratory syndrome coronavirus 2,32e2eaa77039601b1a270d9e425cdd28
OM541382,Severe acute respiratory syndrome coronavirus 2,5586eaf55677a32b19f0aad08913f1ce
OM512738,Severe acute respiratory syndrome coronavirus 2,fc9db300ca438a256096477deedeb861
OM476512,Severe acute respiratory syndrome coronavirus 2,541b20af4ba03ee73690d6db7410df39
OM476574,Severe acute respiratory syndrome coronavirus 2,e2e5c2ed8f30931e0e053b9a620d58d0
OM476585,Severe acute respiratory syndrome coronavirus 2,6fd074f187a9da2e2e4ab6d3ab613996
OM476622,Severe acute respiratory syndrome coronavirus 2,4f44064e4a87489c98990d5ff289d033
OM479454,Severe acute respiratory syndrome coronavirus 2,408c64514ebbe1a5ef6f93f8e48a46da
OM479672,Severe acute respiratory syndrome coronavirus 2,3618457e7c0ed2384cd3ad9a4d1d6485
OM479723,Severe acute respiratory syndrome coronavirus 2,db1cea4aa2eee396f8b747840ddc9701
OM484075,Severe acute respiratory syndrome coronavirus 2,9c3b061e18d90a186ec1c788984072e2
OM486709,Severe acute respiratory syndrome coronavirus 2,bb9ebf7841c0c6bbdc5af2d8805f6bc7
OM489837,Severe acute respiratory syndrome coronavirus 2,a683b4906cc755c87a40827ac0d3ae63
OM466506,Severe acute respiratory syndrome coronavirus 2,350f879f3bcdb9b90f63a51b7f8f36a3
OM466675,Severe acute respiratory syndrome coronavirus 2,f28dca9fa7b8d41268c698753173dd6d
OM466690,Severe acute respiratory syndrome coronavirus 2,09973ac7b7651ff8bcf50bb3931e88d2
OM466744,Severe acute respiratory syndrome coronavirus 2,c6003cf0d356328c3b8480acea6ca408
OM475479,Severe acute respiratory syndrome coronavirus 2,ca499603d4007d8a9d98f0c1cbcf727f
OM424229,Severe acute respiratory syndrome coronavirus 2,dad5879887f089ae320231607d318ce6
OV738119,Severe acute respiratory syndrome coronavirus 2,dc01e36d5898d71a05b00e567eacf1e3
OM402048,Severe acute respiratory syndrome coronavirus 2,5986157f9a6bcaed10be3a0217b75074
OM387775,Severe acute respiratory syndrome coronavirus 2,1cfeac9c424e32e4508552ce9f30ef3f
OM349961,Severe acute respiratory syndrome coronavirus 2,df66bac46a9fb19f592b1ecfe627052a
OM349969,Severe acute respiratory syndrome coronavirus 2,a0d6b27b325e6ba57640505899989c00
OM349970,Severe acute respiratory syndrome coronavirus 2,847ff583b72fabbab43e64b265d260f6
OM349975,Severe acute respiratory syndrome coronavirus 2,75d9c40cd01e7385136af8a7e5e081c4
OM349978,Severe acute respiratory syndrome coronavirus 2,039ba1c0c16ebe8dd28e826617bf1600
OM363898,Severe acute respiratory syndrome coronavirus 2,ea999be6182dfbe4ec83d43b6ebc69aa
OM341446,Severe acute respiratory syndrome coronavirus 2,fa375ce0cfda4f5d32b5bf36237cafa1
OM322795,Severe acute respiratory syndrome coronavirus 2,38f0e9661f7b1c52c9b943685bef2685
OM324902,Severe acute respiratory syndrome coronavirus 2,2c9a39007b8aa17f818cf1f557b65a56
OM313280,Severe acute respiratory syndrome coronavirus 2,3b37c7dd15c707b20dc24f86443d3528
OM283433,Severe acute respiratory syndrome coronavirus 2,8d54deb64e24c35880dccfe94a4fff0a
OM288469,Severe acute respiratory syndrome coronavirus 2,d7e8fb35a59781260943f237d933a7bb
OM289114,Severe acute respiratory syndrome coronavirus 2,0d1f42a8b69065c032c828c9337dc932
OM295630,Severe acute respiratory syndrome coronavirus 2,0af17b2a95014b3c0b3ddc6f1910a235
OM295750,Severe acute respiratory syndrome coronavirus 2,0cda6b472bbdeda15da9843f2ed9f02b
OM295755,Severe acute respiratory syndrome coronavirus 2,2d20613f8f589598177f9f41aecf6dd1
OM296369,Severe acute respiratory syndrome coronavirus 2,e4222056e45c1a82bb3ca785599ca469
OM296564,Severe acute respiratory syndrome coronavirus 2,1309c0f997d309ad47ddecd359723eed
OM296578,Severe acute respiratory syndrome coronavirus 2,7943369666767d945f66441bb2522c27
OV523823,Severe acute respiratory syndrome coronavirus 2,8f47d976d9b5a126fa67c3853849714c
OM266332,Severe acute respiratory syndrome coronavirus 2,a36e63764e7411008f619014a0ec75a9
OM250303,Severe acute respiratory syndrome coronavirus 2,9568ab39c9a8d9951b98bd7ef229c8aa
OM264788,Severe acute respiratory syndrome coronavirus 2,91b7e1fba2ecbede8d225fb07721df47
OM264807,Severe acute respiratory syndrome coronavirus 2,67e0fd3c3c33e49cb7717629a890ca26
OM264909,Severe acute respiratory syndrome coronavirus 2,cf3aa6fe0a118967c572b130ad0a8aea
OM264915,Severe acute respiratory syndrome coronavirus 2,c35fad51b4d46b5f440bbfb70bb6f051
OV440860,Severe acute respiratory syndrome coronavirus 2,d86143db8b23685160bde337887c271d
OM214577,Severe acute respiratory syndrome coronavirus 2,3415aeff9335882ff0e16a899d13c262
OM183157,Severe acute respiratory syndrome coronavirus 2,4329658e1882103462a31c4daa2579f8
OM095411,Severe acute respiratory syndrome coronavirus 2,9c19e51c23abd0df9f8c6f5cac512b9c
OM084485,Severe acute respiratory syndrome coronavirus 2,ed0a265d3dd75d27b950977ea626df5e
OM033335,Severe acute respiratory syndrome coronavirus 2,764d0483f7d24f0550fc6e2617086f86
OM043817,Severe acute respiratory syndrome coronavirus 2,f5adcd3fafeeff38f9afcf237021b91c
OM022470,Severe acute respiratory syndrome coronavirus 2,4f0261d31995f89713a75504aff59a7d
OM022541,Severe acute respiratory syndrome coronavirus 2,246810c642e3e64a7f347390f06b7d45
OL988626,Severe acute respiratory syndrome coronavirus 2,9ba2031cb858f22088f752a788b71c9a
OL870953,Severe acute respiratory syndrome coronavirus 2,f592140bf8d6f8aeaa0af740231ce7eb
OL815079,Severe acute respiratory syndrome coronavirus 2,2996ccdea2e7b389e733eadd6da7ec65
OL815080,Severe acute respiratory syndrome coronavirus 2,65fb1d061cd24032466949ba07524fec
OL821661,Severe acute respiratory syndrome coronavirus 2,3a988a4b1618c8d3cf9416ab135c43ac
OL821662,Severe acute respiratory syndrome coronavirus 2,600617aecba0d1418b71af6a5f4e0d2a
OL821663,Severe acute respiratory syndrome coronavirus 2,cb420fd3b19bdf7a45fcf1e384ab4dcb
OL672836,Severe acute respiratory syndrome coronavirus 2,8a53e63b7b61626995aacd7416d72d7f
MZ690385,Severe acute respiratory syndrome coronavirus 2,1b8bdf9b7f10684aca5b21799a19b1f0
MZ140797,Severe acute respiratory syndrome coronavirus 2,ee83240863cc8991dd2aa1793c82aab2
MZ141007,Severe acute respiratory syndrome coronavirus 2,8e0d65f7bc7ef93a8c33920e31d0adf6
MZ072556,Severe acute respiratory syndrome coronavirus 2,0bae589a31baa9598233b12da501d86a
MZ036291,Severe acute respiratory syndrome coronavirus 2,bc9d6a2b1659ff36d536eeb89140e78d
